time [s]	pressure [bar]	temperature [K]	mass [kg]
0.402072	14.664057	2777.426491	0.001035
0.402078	14.666735	2777.581297	0.001035
0.402083	14.669423	2777.736608	0.001035
0.402089	14.672121	2777.892423	0.001035
0.402094	14.674828	2778.048742	0.001036
0.402100	14.677545	2778.205567	0.001036
0.402106	14.680271	2778.362895	0.001036
0.402111	14.683008	2778.520728	0.001036
0.402117	14.685754	2778.679066	0.001036
0.402122	14.688509	2778.837908	0.001036
0.402128	14.691274	2778.997254	0.001036
0.402133	14.694049	2779.157106	0.001037
0.402139	14.696834	2779.317461	0.001037
0.402144	14.699628	2779.478321	0.001037
0.402150	14.702432	2779.639686	0.001037
0.402156	14.705246	2779.801555	0.001037
0.402161	14.708070	2779.963929	0.001037
0.402167	14.710903	2780.126808	0.001037
0.402172	14.713746	2780.290191	0.001038
0.402178	14.716599	2780.454078	0.001038
0.402183	14.719462	2780.618471	0.001038
0.402189	14.722334	2780.783367	0.001038
0.402194	14.725216	2780.948769	0.001038
0.402200	14.728108	2781.114675	0.001038
0.402206	14.731010	2781.281085	0.001038
0.402211	14.733922	2781.448000	0.001039
0.402217	14.736843	2781.615420	0.001039
0.402222	14.739775	2781.783345	0.001039
0.402228	14.742716	2781.951774	0.001039
0.402233	14.745667	2782.120707	0.001039
0.402239	14.748628	2782.290145	0.001039
0.402244	14.751599	2782.460088	0.001039
0.402250	14.754579	2782.630536	0.001040
0.402256	14.757570	2782.801488	0.001040
0.402261	14.760570	2782.972945	0.001040
0.402267	14.763581	2783.144906	0.001040
0.402272	14.766601	2783.317372	0.001040
0.402278	14.769631	2783.490342	0.001040
0.402283	14.772671	2783.663818	0.001040
0.402289	14.775721	2783.837797	0.001041
0.402294	14.778781	2784.012282	0.001041
0.402300	14.781851	2784.187271	0.001041
0.402306	14.784931	2784.362765	0.001041
0.402311	14.788021	2784.538763	0.001041
0.402317	14.791121	2784.715266	0.001041
0.402322	14.794231	2784.892273	0.001041
0.402328	14.797351	2785.069785	0.001042
0.402333	14.800480	2785.247802	0.001042
0.402339	14.803620	2785.426323	0.001042
0.402344	14.806770	2785.605349	0.001042
0.402350	14.809930	2785.784879	0.001042
0.402356	14.813100	2785.964914	0.001042
0.402361	14.816280	2786.145454	0.001043
0.402367	14.819470	2786.326498	0.001043
0.402372	14.822671	2786.508046	0.001043
0.402378	14.825881	2786.690100	0.001043
0.402383	14.829101	2786.872657	0.001043
0.402389	14.832332	2787.055720	0.001043
0.402394	14.835572	2787.239286	0.001044
0.402400	14.838823	2787.423357	0.001044
0.402406	14.842084	2787.607933	0.001044
0.402411	14.845355	2787.793013	0.001044
0.402417	14.848636	2787.978598	0.001044
0.402422	14.851927	2788.164687	0.001044
0.402428	14.855228	2788.351281	0.001044
0.402433	14.858540	2788.538379	0.001045
0.402439	14.861862	2788.725981	0.001045
0.402444	14.865194	2788.914088	0.001045
0.402450	14.868536	2789.102699	0.001045
0.402456	14.871888	2789.291814	0.001045
0.402461	14.875251	2789.481434	0.001045
0.402467	14.878624	2789.671559	0.001046
0.402472	14.882007	2789.862187	0.001046
0.402478	14.885400	2790.053320	0.001046
0.402483	14.888804	2790.244957	0.001046
0.402489	14.892217	2790.437098	0.001046
0.402494	14.895641	2790.629744	0.001046
0.402500	14.899076	2790.822894	0.001047
0.402506	14.902520	2791.016548	0.001047
0.402511	14.905975	2791.210706	0.001047
0.402517	14.909441	2791.405368	0.001047
0.402522	14.912916	2791.600535	0.001047
0.402528	14.916402	2791.796205	0.001047
0.402533	14.919898	2791.992380	0.001048
0.402539	14.923405	2792.189059	0.001048
0.402544	14.926922	2792.386242	0.001048
0.402550	14.930449	2792.583928	0.001048
0.402556	14.933987	2792.782119	0.001048
0.402561	14.937535	2792.980814	0.001049
0.402567	14.941094	2793.180012	0.001049
0.402572	14.944662	2793.379715	0.001049
0.402578	14.948242	2793.579921	0.001049
0.402583	14.951831	2793.780632	0.001049
0.402589	14.955432	2793.981846	0.001049
0.402594	14.959042	2794.183563	0.001050
0.402600	14.962663	2794.385785	0.001050
0.402606	14.966295	2794.588510	0.001050
0.402611	14.969937	2794.791739	0.001050
0.402617	14.973589	2794.995472	0.001050
0.402622	14.977252	2795.199708	0.001050
0.402628	14.980925	2795.404448	0.001051
0.402633	14.984609	2795.609691	0.001051
0.402639	14.988304	2795.815438	0.001051
0.402644	14.992009	2796.021688	0.001051
0.402650	14.995724	2796.228442	0.001051
0.402656	14.999450	2796.435699	0.001052
0.402661	15.003187	2796.643459	0.001052
0.402667	15.006934	2796.851723	0.001052
0.402672	15.010692	2797.060490	0.001052
0.402678	15.014460	2797.269760	0.001052
0.402683	15.018239	2797.479533	0.001052
0.402689	15.022029	2797.689810	0.001053
0.402694	15.025829	2797.900589	0.001053
0.402700	15.029640	2798.111872	0.001053
0.402706	15.033461	2798.323658	0.001053
0.402711	15.037293	2798.535946	0.001053
0.402717	15.041136	2798.748737	0.001054
0.402722	15.044989	2798.962032	0.001054
0.402728	15.048853	2799.175829	0.001054
0.402733	15.052728	2799.390128	0.001054
0.402739	15.056614	2799.604931	0.001054
0.402744	15.060510	2799.820236	0.001055
0.402750	15.064417	2800.036043	0.001055
0.402756	15.068334	2800.252354	0.001055
0.402761	15.072263	2800.469166	0.001055
0.402767	15.076202	2800.686481	0.001055
0.402772	15.080151	2800.904299	0.001056
0.402778	15.084112	2801.122618	0.001056
0.402783	15.088083	2801.341440	0.001056
0.402789	15.092065	2801.560764	0.001056
0.402794	15.096058	2801.780591	0.001056
0.402800	15.100062	2802.000919	0.001057
0.402806	15.104076	2802.221749	0.001057
0.402811	15.108102	2802.443081	0.001057
0.402817	15.112138	2802.664915	0.001057
0.402822	15.116185	2802.887251	0.001057
0.402828	15.120243	2803.110089	0.001058
0.402833	15.124312	2803.333428	0.001058
0.402839	15.128391	2803.557269	0.001058
