time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.402644	227.600000	-0.032900	-132425.397317	9.773989
0.402650	227.700000	-0.032994	-132802.263552	9.780223
0.402656	227.800000	-0.033088	-133179.481116	9.786433
0.402661	227.900000	-0.033182	-133557.050441	9.792619
0.402667	228.000000	-0.033277	-133934.971958	9.798779
0.402672	228.100000	-0.033371	-134313.246093	9.804916
0.402678	228.200000	-0.033466	-134691.873270	9.811027
0.402683	228.300000	-0.033561	-135070.853910	9.817114
0.402689	228.400000	-0.033655	-135450.188428	9.823177
0.402694	228.500000	-0.033750	-135829.877237	9.829214
0.402700	228.600000	-0.033845	-136209.920748	9.835228
0.402706	228.700000	-0.033940	-136590.319367	9.841216
0.402711	228.800000	-0.034035	-136971.073495	9.847180
0.402717	228.900000	-0.034130	-137352.183533	9.853119
0.402722	229.000000	-0.034226	-137733.649876	9.859034
0.402728	229.100000	-0.034321	-138115.472917	9.864924
0.402733	229.200000	-0.034416	-138497.653042	9.870789
0.402739	229.300000	-0.034512	-138880.190638	9.876630
0.402744	229.400000	-0.034608	-139263.086086	9.882446
0.402750	229.500000	-0.034703	-139646.339763	9.888237
0.402756	229.600000	-0.034799	-140029.952043	9.894003
0.402761	229.700000	-0.034895	-140413.923297	9.899745
0.402767	229.800000	-0.034991	-140798.253890	9.905462
0.402772	229.900000	-0.035087	-141182.944187	9.911155
0.402778	230.000000	-0.035183	-141567.994545	9.916822
