time [s]	pressure [bar]	temperature [K]	mass [kg]
0.402278	2.700145	2496.348827	0.000212
0.402283	2.698747	2496.059162	0.000212
0.402289	2.697351	2495.769851	0.000212
0.402294	2.695958	2495.480895	0.000212
0.402300	2.694567	2495.192293	0.000212
0.402306	2.693178	2494.904046	0.000212
0.402311	2.691791	2494.616154	0.000212
0.402317	2.690407	2494.328616	0.000211
0.402322	2.689024	2494.041435	0.000211
0.402328	2.687645	2493.754609	0.000211
0.402333	2.686267	2493.468139	0.000211
0.402339	2.684892	2493.182025	0.000211
0.402344	2.683519	2492.896268	0.000211
0.402350	2.682148	2492.610867	0.000211
0.402356	2.680779	2492.325822	0.000211
0.402361	2.679413	2492.041135	0.000211
0.402367	2.678049	2491.756805	0.000211
0.402372	2.676688	2491.472833	0.000211
0.402378	2.675328	2491.189218	0.000211
0.402383	2.673971	2490.905961	0.000210
0.402389	2.672616	2490.623062	0.000210
0.402394	2.671263	2490.340522	0.000210
0.402400	2.669913	2490.058340	0.000210
0.402406	2.668565	2489.776516	0.000210
0.402411	2.667219	2489.495052	0.000210
0.402417	2.665875	2489.213946	0.000210
0.402422	2.664534	2488.933200	0.000210
0.402428	2.663195	2488.652813	0.000210
0.402433	2.661858	2488.372786	0.000210
0.402439	2.660524	2488.093119	0.000210
0.402444	2.659191	2487.813812	0.000210
0.402450	2.657861	2487.534865	0.000209
0.402456	2.656533	2487.256278	0.000209
0.402461	2.655208	2486.978052	0.000209
0.402467	2.653884	2486.700187	0.000209
0.402472	2.652563	2486.422683	0.000209
0.402478	2.651244	2486.145540	0.000209
0.402483	2.649927	2485.868758	0.000209
0.402489	2.648613	2485.592337	0.000209
0.402494	2.647301	2485.316278	0.000209
0.402500	2.645991	2485.040581	0.000209
0.402506	2.644683	2484.765246	0.000209
0.402511	2.643378	2484.490273	0.000209
0.402517	2.642074	2484.215662	0.000209
0.402522	2.640773	2483.941414	0.000208
0.402528	2.639475	2483.667528	0.000208
0.402533	2.638178	2483.394005	0.000208
